noise,snr,rows,rows_of_speech,file_number,accuracy
wind,12,179,133,ch1_5694-64025-0012.gzip,72.62569832402235
car80,18,448,340,ch1_251-137823-0022.gzip,72.54464285714286
wind,12,694,300,ch1_777-126732-0005.gzip,72.47838616714698
office,0,545,395,ch1_1272-141231-0025.gzip,72.4770642201835
white,0,545,395,ch1_1272-141231-0025.gzip,72.4770642201835
white,6,545,395,ch1_1272-141231-0025.gzip,72.4770642201835
pink,6,545,395,ch1_1272-141231-0025.gzip,72.4770642201835
pink,12,545,395,ch1_1272-141231-0025.gzip,72.4770642201835
pink,0,545,395,ch1_1272-141231-0025.gzip,72.4770642201835
Babble,0,545,395,ch1_1272-141231-0025.gzip,72.4770642201835
Babble,6,545,395,ch1_1272-141231-0025.gzip,72.4770642201835
car80,0,545,395,ch1_1272-141231-0025.gzip,72.29357798165138
office,18,432,330,ch1_84-121123-0020.gzip,72.22222222222223
office,24,448,340,ch1_251-137823-0022.gzip,72.09821428571429
wind,12,311,99,ch1_3536-8226-0021.gzip,72.02572347266882
wind,18,192,100,ch1_7850-73752-0019.gzip,71.875
Babble,18,432,330,ch1_84-121123-0020.gzip,71.75925925925925
white,12,545,395,ch1_1272-141231-0025.gzip,71.74311926605505
office,6,545,395,ch1_1272-141231-0025.gzip,71.55963302752293
car80,18,179,133,ch1_5694-64025-0012.gzip,71.50837988826815
wind,6,179,133,ch1_5694-64025-0012.gzip,71.50837988826815
Babble,24,179,133,ch1_5694-64025-0012.gzip,71.50837988826815
office,18,179,133,ch1_5694-64025-0012.gzip,71.50837988826815
car80,24,448,340,ch1_251-137823-0022.gzip,71.42857142857143
white,18,688,565,ch1_251-118436-0003.gzip,71.36627906976744
Quiet,0,448,340,ch1_251-137823-0022.gzip,71.20535714285714
wind,6,373,120,ch1_2902-9008-0007.gzip,71.0455764075067
wind,0,692,269,ch1_2902-9006-0008.gzip,70.95375722543352
car80,12,688,565,ch1_251-118436-0003.gzip,70.93023255813954
wind,24,340,225,ch1_2035-147961-0035.gzip,70.88235294117646
office,24,432,330,ch1_84-121123-0020.gzip,70.83333333333333
wind,0,332,287,ch1_6295-244435-0018.gzip,70.78313253012048
car80,6,545,395,ch1_1272-141231-0025.gzip,70.64220183486239
Babble,24,432,330,ch1_84-121123-0020.gzip,70.60185185185185
car80,24,432,330,ch1_84-121123-0020.gzip,70.60185185185185
wind,0,340,225,ch1_2035-147961-0035.gzip,70.58823529411765
pink,18,545,395,ch1_1272-141231-0025.gzip,70.45871559633028
wind,12,223,77,ch1_5895-34629-0031.gzip,70.4035874439462
white,24,432,330,ch1_84-121123-0020.gzip,70.37037037037037
wind,6,424,217,ch1_84-121123-0003.gzip,70.28301886792453
Babble,12,545,395,ch1_1272-141231-0025.gzip,70.27522935779817
white,24,179,133,ch1_5694-64025-0012.gzip,69.83240223463687
wind,18,179,133,ch1_5694-64025-0012.gzip,69.83240223463687
wind,24,578,285,ch1_2428-83705-0028.gzip,69.72318339100346
wind,6,545,395,ch1_1272-141231-0025.gzip,69.35779816513761
pink,24,688,565,ch1_251-118436-0003.gzip,69.3313953488372
wind,12,424,217,ch1_84-121123-0003.gzip,68.86792452830188
office,12,545,395,ch1_1272-141231-0025.gzip,68.80733944954129
office,24,179,133,ch1_5694-64025-0012.gzip,68.71508379888269
wind,12,220,117,ch1_1272-135031-0019.gzip,68.63636363636364
wind,6,308,135,ch1_6313-66125-0007.gzip,68.50649350649351
wind,0,424,217,ch1_84-121123-0003.gzip,68.39622641509433
car80,24,179,133,ch1_5694-64025-0012.gzip,68.15642458100558
wind,24,179,133,ch1_5694-64025-0012.gzip,68.15642458100558
car80,12,545,395,ch1_1272-141231-0025.gzip,68.07339449541284
wind,0,432,330,ch1_84-121123-0020.gzip,68.05555555555556
white,18,545,395,ch1_1272-141231-0025.gzip,67.88990825688073
Babble,18,545,395,ch1_1272-141231-0025.gzip,67.5229357798165
wind,12,735,179,ch1_2902-9008-0013.gzip,67.48299319727892
office,12,688,565,ch1_251-118436-0003.gzip,67.29651162790698
wind,18,159,20,ch1_2412-153947-0000.gzip,67.29559748427673
wind,18,424,217,ch1_84-121123-0003.gzip,66.98113207547169
pink,24,545,395,ch1_1272-141231-0025.gzip,66.97247706422019
wind,6,692,269,ch1_2902-9006-0008.gzip,66.90751445086705
Quiet,0,179,133,ch1_5694-64025-0012.gzip,66.4804469273743
office,18,545,395,ch1_1272-141231-0025.gzip,66.42201834862385
Babble,12,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
office,0,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
white,6,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
pink,18,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
office,6,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
white,0,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
car80,0,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
pink,12,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
pink,0,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
car80,6,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
pink,6,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
Babble,0,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
white,12,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
Babble,6,340,225,ch1_2035-147961-0035.gzip,66.17647058823529
wind,0,179,133,ch1_5694-64025-0012.gzip,65.92178770949721
white,18,340,225,ch1_2035-147961-0035.gzip,65.88235294117646
Babble,18,340,225,ch1_2035-147961-0035.gzip,65.58823529411765
white,24,545,395,ch1_1272-141231-0025.gzip,65.5045871559633
pink,24,340,225,ch1_2035-147961-0035.gzip,65.29411764705883
wind,18,694,300,ch1_777-126732-0005.gzip,64.8414985590778
office,12,340,225,ch1_2035-147961-0035.gzip,64.70588235294117
Babble,24,688,565,ch1_251-118436-0003.gzip,64.68023255813954
wind,12,373,120,ch1_2902-9008-0007.gzip,64.6112600536193
Babble,24,545,395,ch1_1272-141231-0025.gzip,64.58715596330275
car80,12,340,225,ch1_2035-147961-0035.gzip,64.41176470588235
car80,18,545,395,ch1_1272-141231-0025.gzip,64.03669724770643
wind,12,308,135,ch1_6313-66125-0007.gzip,63.96103896103896
office,24,545,395,ch1_1272-141231-0025.gzip,63.85321100917431
white,24,340,225,ch1_2035-147961-0035.gzip,63.8235294117647
wind,24,424,217,ch1_84-121123-0003.gzip,63.679245283018865
wind,24,192,100,ch1_7850-73752-0019.gzip,63.541666666666664
Babble,24,340,225,ch1_2035-147961-0035.gzip,63.529411764705884
wind,18,223,77,ch1_5895-34629-0031.gzip,62.33183856502242
white,24,688,565,ch1_251-118436-0003.gzip,62.2093023255814
car80,18,688,565,ch1_251-118436-0003.gzip,61.77325581395349
office,18,340,225,ch1_2035-147961-0035.gzip,61.76470588235294
wind,18,311,99,ch1_3536-8226-0021.gzip,61.41479099678457
car80,24,545,395,ch1_1272-141231-0025.gzip,61.28440366972477
wind,24,694,300,ch1_777-126732-0005.gzip,60.6628242074928
car80,18,340,225,ch1_2035-147961-0035.gzip,60.294117647058826
pink,12,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
Babble,6,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
white,0,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
pink,6,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
car80,0,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
Babble,0,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
pink,0,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
white,6,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
office,0,307,185,ch1_5694-64025-0003.gzip,60.26058631921824
office,18,688,565,ch1_251-118436-0003.gzip,60.02906976744186
car80,24,340,225,ch1_2035-147961-0035.gzip,60.0
office,6,307,185,ch1_5694-64025-0003.gzip,59.93485342019544
wind,0,545,395,ch1_1272-141231-0025.gzip,59.81651376146789
Babble,12,307,185,ch1_5694-64025-0003.gzip,59.60912052117264
white,12,307,185,ch1_5694-64025-0003.gzip,59.60912052117264
wind,24,688,565,ch1_251-118436-0003.gzip,59.156976744186046
office,24,340,225,ch1_2035-147961-0035.gzip,59.11764705882353
wind,18,308,135,ch1_6313-66125-0007.gzip,59.09090909090909
wind,18,735,179,ch1_2902-9008-0013.gzip,58.775510204081634
pink,18,307,185,ch1_5694-64025-0003.gzip,58.63192182410423
wind,12,688,565,ch1_251-118436-0003.gzip,58.43023255813954
Quiet,0,545,395,ch1_1272-141231-0025.gzip,58.34862385321101
car80,6,307,185,ch1_5694-64025-0003.gzip,58.306188925081436
wind,24,223,77,ch1_5895-34629-0031.gzip,58.29596412556054
wind,18,688,565,ch1_251-118436-0003.gzip,58.28488372093023
wind,6,688,565,ch1_251-118436-0003.gzip,58.28488372093023
Quiet,0,340,225,ch1_2035-147961-0035.gzip,58.23529411764706
wind,18,220,117,ch1_1272-135031-0019.gzip,58.18181818181818
white,18,307,185,ch1_5694-64025-0003.gzip,57.328990228013026
Babble,18,307,185,ch1_5694-64025-0003.gzip,57.328990228013026
car80,12,307,185,ch1_5694-64025-0003.gzip,57.00325732899023
office,12,307,185,ch1_5694-64025-0003.gzip,56.67752442996743
wind,12,692,269,ch1_2902-9006-0008.gzip,56.50289017341041
Babble,6,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
office,6,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
pink,24,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
white,18,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
pink,18,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
white,6,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
white,0,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
Babble,12,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
Babble,18,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
white,12,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
office,0,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
car80,6,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
car80,0,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
Babble,0,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
pink,0,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
pink,6,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
pink,12,179,101,ch1_8297-275154-0016.gzip,56.42458100558659
office,24,688,565,ch1_251-118436-0003.gzip,56.104651162790695
Babble,24,179,101,ch1_8297-275154-0016.gzip,55.865921787709496
Quiet,0,179,101,ch1_8297-275154-0016.gzip,55.865921787709496
white,24,179,101,ch1_8297-275154-0016.gzip,55.865921787709496
wind,18,373,120,ch1_2902-9008-0007.gzip,55.76407506702413
car80,18,307,185,ch1_5694-64025-0003.gzip,55.700325732899024
pink,24,307,185,ch1_5694-64025-0003.gzip,55.700325732899024
car80,24,688,565,ch1_251-118436-0003.gzip,55.66860465116279
Babble,24,307,185,ch1_5694-64025-0003.gzip,55.37459283387622
office,24,179,101,ch1_8297-275154-0016.gzip,55.3072625698324
car80,12,179,101,ch1_8297-275154-0016.gzip,55.3072625698324
office,12,179,101,ch1_8297-275154-0016.gzip,55.3072625698324
car80,24,179,101,ch1_8297-275154-0016.gzip,55.3072625698324
car80,18,179,101,ch1_8297-275154-0016.gzip,55.3072625698324
office,18,179,101,ch1_8297-275154-0016.gzip,55.3072625698324
office,18,307,185,ch1_5694-64025-0003.gzip,55.04885993485342
wind,0,688,565,ch1_251-118436-0003.gzip,54.79651162790697
car80,24,307,185,ch1_5694-64025-0003.gzip,54.39739413680782
Quiet,0,307,185,ch1_5694-64025-0003.gzip,54.39739413680782
white,24,307,185,ch1_5694-64025-0003.gzip,53.74592833876221
office,24,307,185,ch1_5694-64025-0003.gzip,53.74592833876221
pink,0,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
office,6,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
white,6,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
pink,12,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
white,0,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
white,12,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
car80,0,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
Babble,0,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
Babble,6,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
Babble,12,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
pink,6,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
car80,6,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
office,0,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
pink,18,220,117,ch1_1272-135031-0019.gzip,53.18181818181818
Quiet,0,688,565,ch1_251-118436-0003.gzip,53.05232558139535
wind,24,308,135,ch1_6313-66125-0007.gzip,52.922077922077925
wind,24,311,99,ch1_3536-8226-0021.gzip,52.733118971061096
car80,12,220,117,ch1_1272-135031-0019.gzip,52.72727272727273
Babble,24,220,117,ch1_1272-135031-0019.gzip,52.72727272727273
Babble,18,220,117,ch1_1272-135031-0019.gzip,52.72727272727273
pink,24,220,117,ch1_1272-135031-0019.gzip,52.72727272727273
white,18,220,117,ch1_1272-135031-0019.gzip,52.72727272727273
wind,24,220,117,ch1_1272-135031-0019.gzip,52.27272727272727
white,24,220,117,ch1_1272-135031-0019.gzip,52.27272727272727
office,0,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
white,0,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
office,6,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
Babble,6,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
pink,12,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
pink,6,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
white,12,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
white,6,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
Babble,0,192,100,ch1_7850-73752-0019.gzip,52.083333333333336
