base_name,noise,snr,accuracy
ch1_1462-170142-0038.gzip,car80,24,85.8085808580858
ch1_6313-66125-0003.gzip,white,12,85.66433566433567
ch1_2803-161169-0014.gzip,pink,6,85.6301531213192
ch1_7976-105575-0004.gzip,white,24,85.6
ch1_2412-153954-0020.gzip,white,0,85.5421686746988
ch1_1462-170142-0038.gzip,office,24,85.47854785478548
ch1_6241-61943-0021.gzip,white,0,85.35031847133757
ch1_6241-61943-0021.gzip,white,12,85.35031847133757
ch1_6313-66125-0003.gzip,white,6,85.31468531468532
ch1_2803-161169-0002.gzip,white,6,85.29411764705883
ch1_2078-142845-0007.gzip,white,6,85.26234567901234
ch1_2428-83699-0018.gzip,pink,24,85.15625
ch1_1462-170142-0038.gzip,car80,6,85.14851485148515
ch1_2803-161169-0014.gzip,white,6,84.92343934040048
ch1_2803-161169-0014.gzip,pink,12,84.80565371024736
ch1_7976-105575-0004.gzip,office,18,84.8
ch1_2412-153954-0020.gzip,pink,6,84.73895582329317
ch1_6241-61943-0021.gzip,office,0,84.71337579617834
ch1_6241-61943-0021.gzip,pink,18,84.71337579617834
ch1_6241-61943-0021.gzip,pink,24,84.71337579617834
ch1_2803-161169-0002.gzip,white,0,84.640522875817
ch1_6313-66125-0003.gzip,pink,12,84.61538461538461
ch1_1988-24833-0019.gzip,office,0,84.61538461538461
ch1_1988-24833-0019.gzip,car80,18,84.61538461538461
ch1_1988-24833-0019.gzip,car80,12,84.61538461538461
ch1_1988-24833-0001.gzip,pink,12,84.5841784989858
ch1_2078-142845-0007.gzip,car80,12,84.5679012345679
ch1_7976-105575-0004.gzip,car80,6,84.53333333333333
ch1_2086-149220-0027.gzip,pink,6,84.52830188679245
ch1_6295-244435-0018.gzip,wind,6,84.33734939759036
ch1_2803-161169-0002.gzip,pink,6,84.31372549019608
ch1_251-137823-0006.gzip,car80,12,84.2741935483871
ch1_7850-286674-0002.gzip,white,12,84.26966292134831
ch1_2078-142845-0007.gzip,car80,18,84.25925925925925
ch1_5694-64025-0010.gzip,office,12,84.2339008142117
ch1_2078-142845-0007.gzip,pink,6,84.10493827160494
ch1_2078-142845-0007.gzip,car80,24,84.10493827160494
ch1_6241-61943-0021.gzip,white,6,84.07643312101911
ch1_1988-24833-0019.gzip,office,24,84.02366863905326
ch1_7850-286674-0002.gzip,pink,0,83.98876404494382
ch1_2803-161169-0002.gzip,pink,18,83.98692810457516
ch1_2803-161169-0002.gzip,white,12,83.98692810457516
ch1_1993-147965-0000.gzip,white,0,83.88278388278388
ch1_6319-275224-0014.gzip,white,6,83.88059701492537
ch1_5694-64025-0010.gzip,office,18,83.8638045891932
ch1_6313-66129-0008.gzip,white,6,83.86075949367088
ch1_7850-281318-0000.gzip,office,12,83.84615384615384
ch1_6295-244435-0018.gzip,wind,12,83.73493975903614
ch1_7976-105575-0004.gzip,car80,0,83.73333333333333
ch1_6319-275224-0014.gzip,pink,12,83.73134328358209
ch1_1462-170138-0022.gzip,wind,12,83.67875647668394
ch1_2428-83699-0018.gzip,white,24,83.59375
ch1_6319-275224-0014.gzip,car80,18,83.58208955223881
ch1_2078-142845-0007.gzip,office,24,83.56481481481481
ch1_251-137823-0006.gzip,Quiet,0,83.46774193548387
ch1_6295-244435-0018.gzip,wind,18,83.43373493975903
ch1_6295-244435-0018.gzip,Quiet,0,83.43373493975903
ch1_2086-149220-0027.gzip,car80,24,83.39622641509433
ch1_1988-24833-0001.gzip,white,6,83.36713995943205
ch1_1462-170142-0017.gzip,car80,6,83.33333333333333
ch1_6319-275224-0014.gzip,car80,24,83.28358208955224
ch1_5694-64025-0010.gzip,office,24,83.27165062916359
ch1_6313-66129-0008.gzip,pink,18,83.22784810126582
ch1_6313-66129-0008.gzip,pink,12,83.22784810126582
ch1_7976-105575-0004.gzip,car80,12,83.2
ch1_1993-147965-0000.gzip,car80,18,83.15018315018315
ch1_2428-83699-0018.gzip,car80,12,83.14732142857143
ch1_7850-286674-0002.gzip,pink,18,83.14606741573034
ch1_6295-244435-0018.gzip,wind,0,83.13253012048193
ch1_5694-64025-0010.gzip,car80,24,83.04959289415248
ch1_5694-64025-0010.gzip,car80,18,83.04959289415248
ch1_2428-83699-0018.gzip,car80,6,83.03571428571429
ch1_2086-149220-0027.gzip,car80,6,83.01886792452831
ch1_2086-149220-0027.gzip,car80,18,83.01886792452831
ch1_2803-161169-0002.gzip,white,18,83.00653594771242
ch1_6313-66125-0001.gzip,pink,12,82.91814946619218
ch1_6313-66129-0008.gzip,white,12,82.9113924050633
ch1_6313-66125-0003.gzip,office,12,82.86713286713287
ch1_6313-66125-0003.gzip,office,18,82.86713286713287
ch1_6313-66125-0003.gzip,white,18,82.86713286713287
ch1_1988-24833-0019.gzip,car80,6,82.84023668639053
ch1_5694-64025-0010.gzip,car80,12,82.82753515914138
ch1_6241-61943-0021.gzip,white,24,82.80254777070064
ch1_5694-64025-0010.gzip,pink,6,82.75351591413768
ch1_7850-281318-0000.gzip,office,18,82.6923076923077
ch1_7976-105575-0004.gzip,pink,0,82.66666666666667
ch1_2086-149220-0027.gzip,car80,12,82.64150943396227
ch1_5694-64025-0010.gzip,office,6,82.60547742413027
ch1_7850-286674-0002.gzip,white,18,82.58426966292134
ch1_777-126732-0060.gzip,pink,6,82.55578093306288
ch1_1462-170142-0038.gzip,pink,6,82.50825082508251
ch1_1988-24833-0001.gzip,white,0,82.3529411764706
ch1_5694-64025-0010.gzip,Quiet,0,82.30940044411547
ch1_6295-244435-0018.gzip,office,24,82.2289156626506
ch1_2803-161169-0014.gzip,car80,6,82.21436984687868
ch1_6313-66125-0003.gzip,office,24,82.16783216783217
ch1_7976-105575-0004.gzip,office,24,82.13333333333334
ch1_1993-147965-0000.gzip,car80,6,82.05128205128206
ch1_1988-24833-0001.gzip,pink,6,81.947261663286
ch1_6295-244435-0018.gzip,white,18,81.92771084337349
ch1_6295-244435-0018.gzip,pink,24,81.92771084337349
ch1_7850-281318-0000.gzip,Quiet,0,81.92307692307692
ch1_1462-170138-0022.gzip,wind,6,81.86528497409327
ch1_2803-161169-0014.gzip,car80,12,81.86101295641932
ch1_1462-170142-0038.gzip,Quiet,0,81.84818481848185
ch1_6313-66125-0003.gzip,pink,24,81.81818181818181
ch1_6319-275224-0014.gzip,office,24,81.7910447761194
ch1_777-126732-0060.gzip,pink,12,81.74442190669372
ch1_7850-286674-0002.gzip,car80,12,81.74157303370787
ch1_1993-147965-0000.gzip,car80,12,81.68498168498168
ch1_1988-24833-0019.gzip,pink,6,81.65680473372781
ch1_6313-66129-0008.gzip,white,18,81.64556962025317
ch1_2078-142845-0007.gzip,car80,6,81.55864197530865
ch1_6241-61943-0021.gzip,office,12,81.52866242038216
ch1_1462-170142-0038.gzip,wind,6,81.51815181518151
ch1_6313-66125-0001.gzip,white,6,81.49466192170819
ch1_6313-66125-0003.gzip,office,6,81.46853146853147
ch1_7850-286674-0002.gzip,car80,6,81.46067415730337
ch1_251-137823-0006.gzip,car80,6,81.45161290322581
ch1_2412-153954-0020.gzip,pink,12,81.32530120481928
ch1_6319-275224-0014.gzip,car80,12,81.19402985074628
ch1_7850-281318-0000.gzip,office,24,81.15384615384616
ch1_777-126732-0060.gzip,white,6,81.13590263691684
ch1_6313-66125-0003.gzip,white,24,81.11888111888112
ch1_6295-244435-0018.gzip,white,24,81.02409638554217
ch1_1993-147965-0000.gzip,pink,6,80.95238095238095
ch1_6295-244435-0018.gzip,wind,24,80.72289156626506
ch1_2078-142845-0007.gzip,white,0,80.70987654320987
ch1_251-137823-0025.gzip,car80,24,80.70175438596492
ch1_251-137823-0006.gzip,pink,6,80.64516129032258
ch1_7850-286674-0002.gzip,car80,0,80.61797752808988
ch1_5694-64025-0010.gzip,white,0,80.60695780903035
ch1_1462-170138-0022.gzip,car80,6,80.56994818652849
ch1_1462-170142-0017.gzip,Babble,24,80.55555555555556
ch1_777-126732-0060.gzip,white,0,80.52738336713996
ch1_6313-66129-0029.gzip,white,0,80.49886621315193
ch1_2428-83699-0018.gzip,car80,18,80.46875
ch1_6313-66125-0001.gzip,pink,18,80.42704626334519
ch1_6295-244435-0018.gzip,car80,24,80.42168674698796
ch1_6313-66129-0008.gzip,pink,24,80.37974683544304
ch1_6313-66129-0008.gzip,office,6,80.37974683544304
ch1_2428-83699-0018.gzip,car80,0,80.35714285714286
ch1_1988-24833-0001.gzip,pink,18,80.32454361054766
ch1_6241-61943-0021.gzip,car80,0,80.2547770700637
ch1_6241-61943-0021.gzip,office,18,80.2547770700637
ch1_251-137823-0006.gzip,white,0,80.24193548387096
ch1_2803-161169-0014.gzip,white,12,80.21201413427562
ch1_6319-275224-0014.gzip,Quiet,0,80.14925373134328
ch1_6319-275224-0014.gzip,white,0,80.14925373134328
ch1_6295-244435-0018.gzip,office,18,80.12048192771084
ch1_2803-161169-0002.gzip,pink,24,80.06535947712419
ch1_6313-66129-0008.gzip,office,12,80.0632911392405
ch1_7850-286674-0002.gzip,pink,24,80.0561797752809
ch1_1462-170138-0022.gzip,wind,18,80.05181347150258
ch1_7850-281318-0000.gzip,office,6,80.0
ch1_7850-281318-0000.gzip,car80,24,80.0
ch1_7976-105575-0004.gzip,car80,18,80.0
ch1_2428-83699-0018.gzip,office,6,79.91071428571429
ch1_1462-170142-0038.gzip,office,0,79.86798679867987
ch1_1462-170142-0017.gzip,pink,0,79.86111111111111
ch1_1462-170142-0017.gzip,wind,24,79.86111111111111
ch1_6319-275224-0014.gzip,office,18,79.85074626865672
ch1_251-137823-0006.gzip,wind,0,79.83870967741936
ch1_5694-64025-0010.gzip,office,0,79.79274611398964
ch1_2803-161169-0014.gzip,pink,18,79.74087161366313
ch1_1988-24833-0001.gzip,white,12,79.71602434077079
ch1_6241-61943-0021.gzip,office,24,79.61783439490446
ch1_6241-61943-0021.gzip,pink,0,79.61783439490446
ch1_6241-61943-0021.gzip,car80,6,79.61783439490446
ch1_1462-170142-0038.gzip,wind,0,79.53795379537954
ch1_2412-153954-0020.gzip,white,6,79.51807228915662
ch1_6295-244435-0018.gzip,pink,18,79.51807228915662
ch1_1988-24833-0001.gzip,office,6,79.5131845841785
ch1_1993-147965-0000.gzip,car80,24,79.48717948717949
ch1_251-137823-0006.gzip,wind,6,79.43548387096774
ch1_6313-66129-0008.gzip,office,18,79.43037974683544
ch1_6313-66125-0001.gzip,pink,6,79.35943060498221
ch1_1988-24833-0019.gzip,wind,6,79.28994082840237
ch1_1988-24833-0019.gzip,wind,0,79.28994082840237
ch1_1462-170138-0022.gzip,pink,0,79.27461139896373
ch1_6295-244435-0018.gzip,white,12,79.21686746987952
ch1_7850-286674-0002.gzip,white,24,79.21348314606742
ch1_1462-170142-0017.gzip,Babble,18,79.16666666666667
ch1_6319-275224-0014.gzip,car80,6,79.1044776119403
ch1_2803-161169-0002.gzip,car80,6,79.08496732026144
ch1_7850-286674-0002.gzip,car80,18,78.93258426966293
ch1_6295-244435-0018.gzip,office,12,78.91566265060241
ch1_6313-66129-0029.gzip,pink,6,78.91156462585035
ch1_1462-170142-0038.gzip,wind,12,78.87788778877888
ch1_6313-66129-0008.gzip,white,24,78.79746835443038
ch1_6313-66129-0029.gzip,white,6,78.68480725623583
ch1_6313-66129-0029.gzip,pink,18,78.68480725623583
ch1_2428-83699-0018.gzip,office,12,78.68303571428571
ch1_6295-244435-0018.gzip,Babble,6,78.6144578313253
ch1_7850-281318-0000.gzip,car80,18,78.46153846153847
ch1_7850-281318-0000.gzip,car80,12,78.46153846153847
ch1_6319-275224-0014.gzip,office,12,78.35820895522389
ch1_6295-244435-0018.gzip,Babble,12,78.3132530120482
ch1_6295-244435-0018.gzip,office,6,78.3132530120482
ch1_6319-275224-0014.gzip,pink,6,78.2089552238806
ch1_2428-83699-0018.gzip,office,0,78.125
ch1_2086-149220-0027.gzip,office,12,78.11320754716981
ch1_6295-244435-0018.gzip,car80,18,78.01204819277109
ch1_6313-66129-0029.gzip,white,12,78.00453514739229
ch1_1462-170138-0022.gzip,wind,0,77.97927461139896
ch1_6313-66125-0003.gzip,pink,6,77.97202797202797
ch1_6313-66125-0001.gzip,white,12,77.93594306049822
ch1_251-137823-0006.gzip,car80,0,77.8225806451613
ch1_6319-275224-0014.gzip,wind,6,77.76119402985074
