base_name,noise,snr,accuracy
ch1_7850-286674-0002.gzip,car80,18,85.95505617977528
ch1_5694-64025-0010.gzip,pink,12,85.93634344929681
ch1_251-137823-0006.gzip,white,24,85.88709677419355
ch1_2078-142845-0007.gzip,white,6,85.87962962962963
ch1_6319-275224-0014.gzip,pink,12,85.82089552238806
ch1_2078-142845-0007.gzip,car80,18,85.64814814814815
ch1_7976-105575-0004.gzip,white,24,85.6
ch1_5694-64025-0010.gzip,white,24,85.49222797927462
ch1_251-137823-0006.gzip,pink,12,85.48387096774194
ch1_7850-281318-0000.gzip,car80,24,85.38461538461539
ch1_7850-281318-0000.gzip,pink,6,85.38461538461539
ch1_7850-281318-0000.gzip,office,6,85.38461538461539
ch1_6241-61943-0021.gzip,office,18,85.35031847133757
ch1_6241-61943-0021.gzip,car80,24,85.35031847133757
ch1_1993-147965-0000.gzip,Quiet,0,85.34798534798534
ch1_2803-161169-0002.gzip,office,6,85.29411764705883
ch1_2803-161169-0014.gzip,white,6,85.27679623085983
ch1_1988-24833-0019.gzip,car80,18,85.20710059171597
ch1_1988-24833-0019.gzip,office,24,85.20710059171597
ch1_1988-24833-0001.gzip,white,6,85.19269776876268
ch1_7850-286674-0002.gzip,pink,18,85.11235955056179
ch1_7850-286674-0002.gzip,office,12,85.11235955056179
ch1_2078-142845-0007.gzip,office,24,85.10802469135803
ch1_1993-147965-0000.gzip,car80,18,84.98168498168498
ch1_5694-64025-0010.gzip,pink,24,84.97409326424871
ch1_2803-161169-0002.gzip,car80,12,84.9673202614379
ch1_2412-153954-0020.gzip,pink,12,84.93975903614458
ch1_2086-149220-0027.gzip,office,18,84.90566037735849
ch1_7976-105575-0004.gzip,car80,18,84.8
ch1_6319-275224-0014.gzip,Quiet,0,84.77611940298507
ch1_5694-64025-0010.gzip,white,6,84.7520355292376
ch1_1462-170142-0017.gzip,Babble,18,84.72222222222223
ch1_6319-275224-0014.gzip,white,6,84.6268656716418
ch1_1988-24833-0019.gzip,car80,24,84.61538461538461
ch1_2428-83699-0018.gzip,pink,24,84.59821428571429
ch1_1988-24833-0001.gzip,pink,12,84.5841784989858
ch1_6319-275224-0014.gzip,office,24,84.32835820895522
ch1_2803-161169-0002.gzip,pink,18,84.31372549019608
ch1_7850-286674-0002.gzip,pink,24,84.26966292134831
ch1_7976-105575-0004.gzip,office,24,84.26666666666667
ch1_7976-105575-0004.gzip,office,0,84.26666666666667
ch1_1462-170142-0017.gzip,wind,24,84.02777777777777
ch1_7976-105575-0004.gzip,car80,6,84.0
ch1_251-137823-0006.gzip,white,6,83.87096774193549
ch1_251-137823-0006.gzip,car80,24,83.87096774193549
ch1_2078-142845-0007.gzip,car80,12,83.79629629629629
ch1_7850-286674-0002.gzip,white,18,83.70786516853933
